"","x"
"1","NOC2L"
"2","HES4"
"3","ISG15"
"4","AGRN"
"5","SDF4"
"6","UBE2J2"
"7","PUSL1"
"8","CPSF3L"
"9","DVL1"
"10","AURKAIP1"
"11","CCNL2"
"12","MRPL20"
"13","VWA1"
"14","ATAD3B"
"15","ATAD3A"
"16","SSU72"
"17","MIB2"
"18","CDK11B"
"19","NADK"
"20","GNB1"
"21","RER1"
"22","LRRC47"
"23","C1orf174"
"24","RPL22"
"25","ICMT"
"26","ACOT7"
"27","CAMTA1"
"28","VAMP3"
"29","PARK7"
"30","ERRFI1"
"31","ENO1"
"32","SLC25A33"
"33","CLSTN1"
"34","CTNNBIP1"
"35","LZIC"
"36","PGD"
"37","APITD1"
"38","DFFA"
"39","TARDBP"
"40","SRM"
"41","FBXO2"
"42","MAD2L2"
"43","AGTRAP"
"44","PLOD1"
"45","MIIP"
"46","DHRS3"
"47","EFHD2"
"48","EPHA2"
"49","SZRD1"
"50","NECAP2"
"51","SDHB"
"52","RCC2"
"53","MRTO4"
"54","AKR7A2"
"55","CAPZB"
"56","MINOS1"
"57","NBL1"
"58","CAMK2N1"
"59","DDOST"
"60","HP1BP3"
"61","ECE1"
"62","USP48"
"63","CDC42"
"64","LUZP1"
"65","HNRNPR"
"66","RPL11"
"67","TCEB3"
"68","PITHD1"
"69","LYPLA2"
"70","GALE"
"71","HMGCL"
"72","FUCA1"
"73","PNRC2"
"74","SRSF10"
"75","SRRM1"
"76","SYF2"
"77","TMEM50A"
"78","STMN1"
"79","ZNF593"
"80","SH3BGRL3"
"81","HMGN2"
"82","ARID1A"
"83","ZDHHC18"
"84","SFN"
"85","GPN2"
"86","NUDC"
"87","TMEM222"
"88","WASF2"
"89","RPA2"
"90","DNAJC8"
"91","ATPIF1"
"92","PHACTR4"
"93","RCC1"
"94","TRNAU1AP"
"95","SNHG12"
"96","TAF12"
"97","YTHDF2"
"98","SRSF4"
"99","MECR"
"100","PUM1"
"101","SNRNP40"
"102","ZCCHC17"
"103","SERINC2"
"104","TINAGL1"
"105","PEF1"
"106","PTP4A2"
"107","KHDRBS1"
"108","TMEM39B"
"109","KPNA6"
"110","TXLNA"
"111","EIF3I"
"112","HDAC1"
"113","MARCKSL1"
"114","BSDC1"
"115","ZBTB8OS"
"116","RBBP4"
"117","KIAA1522"
"118","YARS"
"119","TMEM54"
"120","AK2"
"121","PHC2"
"122","SMIM12"
"123","SFPQ"
"124","PSMB2"
"125","CLSPN"
"126","ADPRHL2"
"127","TRAPPC3"
"128","MAP7D1"
"129","THRAP3"
"130","EVA1B"
"131","STK40"
"132","LSM10"
"133","MRPS15"
"134","ZC3H12A"
"135","MEAF6"
"136","GNL2"
"137","C1orf109"
"138","CDCA8"
"139","MANEAL"
"140","YRDC"
"141","C1orf122"
"142","MTF1"
"143","SF3A3"
"144","UTP11L"
"145","RRAGC"
"146","MYCBP"
"147","AKIRIN1"
"148","NDUFS5"
"149","MACF1"
"150","PABPC4"
"151","PPIE"
"152","CAP1"
"153","PPT1"
"154","ZMPSTE24"
"155","NFYC"
"156","CTPS1"
"157","PPCS"
"158","PPIH"
"159","YBX1"
"160","C1orf50"
"161","SLC2A1"
"162","EBNA1BP2"
"163","CDC20"
"164","ELOVL1"
"165","MED8"
"166","HYI"
"167","PTPRF"
"168","ATP6V0B"
"169","B4GALT2"
"170","DMAP1"
"171","ERI3"
"172","RNF220"
"173","KIF2C"
"174","RPS8"
"175","PLK3"
"176","EIF2B3"
"177","UROD"
"178","PRDX1"
"179","AKR1A1"
"180","NASP"
"181","GPBP1L1"
"182","TSPAN1"
"183","POMGNT1"
"184","UQCRH"
"185","MKNK1"
"186","ATPAF1"
"187","CMPK1"
"188","FAF1"
"189","CDKN2C"
"190","RNF11"
"191","OSBPL9"
"192","TXNDC12"
"193","BTF3L4"
"194","PRPF38A"
"195","ZCCHC11"
"196","COA7"
"197","ECHDC2"
"198","SCP2"
"199","C1orf123"
"200","MAGOH"
"201","HSPB11"
"202","LRRC42"
"203","TMEM59"
"204","MRPL37"
"205","DHCR24"
"206","JUN"
"207","TM2D1"
"208","USP1"
"209","ITGB3BP"
"210","PGM1"
"211","JAK1"
"212","AK4"
"213","LEPROT"
"214","MIER1"
"215","SERBP1"
"216","GADD45A"
"217","GNG12"
"218","WLS"
"219","DEPDC1"
"220","SRSF11"
"221","ZRANB2"
"222","CRYZ"
"223","TYW3"
"224","ACADM"
"225","RABGGTB"
"226","PIGK"
"227","FUBP1"
"228","DNAJB4"
"229","RPF1"
"230","GNG5"
"231","C1orf52"
"232","DDAH1"
"233","CYR61"
"234","ODF2L"
"235","SH3GLB1"
"236","LMO4"
"237","PKN2"
"238","GTF2B"
"239","CCBL2"
"240","ZNF326"
"241","ZNF644"
"242","RPL5"
"243","MTF2"
"244","TMED5"
"245","CCDC18"
"246","DR1"
"247","BCAR3"
"248","DNTTIP2"
